,ct,indo,dmPGE2,pIC,GCSF
MPP3/4,0.599233146,0.607038863,0.595356041,0.63394802,0.602196046
MPP2,0.034286144,0.034110917,0.04142833,0.042781471,0.040906288
MPP,0.260503313,0.25916449,0.232425347,0.212006948,0.247125854
MPP1,0.087238706,0.081753966,0.122277656,0.093549402,0.090397462
HSC,0.018738693,0.017931765,0.008512628,0.01771416,0.019374351
